seed,tag,bits,p,mem_frac,id_acc,ood_acc
2,full,8,0.1,1.0,0.9991666674613953,0.820555587609609
2,full,8,0.2,1.0,0.9983333349227905,0.797777791817983
2,full,8,0.3,1.0,0.9958333373069763,0.7805555860201517
2,full,8,0.5,1.0,0.08916667103767395,0.08500000089406967
2,loghd_k2_n5,2,0.0,0.4172,0.7291666865348816,0.312777782479922
2,loghd_k2_n5,2,0.05,0.4172,0.0833333358168602,0.0833333358168602
2,loghd_k2_n5,2,0.1,0.4172,0.0833333358168602,0.0833333358168602
2,loghd_k2_n5,2,0.2,0.4172,0.1066666692495346,0.10000000149011612
2,loghd_k2_n5,2,0.3,0.4172,0.12083333730697632,0.1025000015894572
2,loghd_k2_n5,2,0.5,0.4172,0.0833333358168602,0.0833333358168602
2,loghd_k2_n5,4,0.0,0.4172,0.7291666865348816,0.312777782479922
2,loghd_k2_n5,4,0.05,0.4172,0.35500001907348633,0.15777778128782907
2,loghd_k2_n5,4,0.1,0.4172,0.10333333909511566,0.08416666835546494
2,loghd_k2_n5,4,0.2,0.4172,0.0833333358168602,0.0833333358168602
2,loghd_k2_n5,4,0.3,0.4172,0.0833333358168602,0.0833333358168602
2,loghd_k2_n5,4,0.5,0.4172,0.09083333611488342,0.08388888835906982
2,loghd_k2_n5,8,0.0,0.4172,0.7291666865348816,0.312777782479922
2,loghd_k2_n5,8,0.05,0.4172,0.29250001907348633,0.16277778148651123
2,loghd_k2_n5,8,0.1,0.4172,0.25583332777023315,0.2044444481531779
2,loghd_k2_n5,8,0.2,0.4172,0.1599999964237213,0.1341666728258133
2,loghd_k2_n5,8,0.3,0.4172,0.07000000029802322,0.08277777830759685
2,loghd_k2_n5,8,0.5,0.4172,0.08250000327825546,0.07666666557391484
2,feataxis_k2_n5,2,0.0,0.4172,1.0,0.8255555828412374
2,feataxis_k2_n5,2,0.05,0.4172,0.9991666674613953,0.7808333436648051
2,feataxis_k2_n5,2,0.1,0.4172,1.0,0.7672222455342611
2,feataxis_k2_n5,2,0.2,0.4172,0.9900000095367432,0.7602778077125549
2,feataxis_k2_n5,2,0.3,0.4172,0.9583333730697632,0.6913888851801554
2,feataxis_k2_n5,2,0.5,0.4172,0.0949999988079071,0.07166666785875957
2,feataxis_k2_n5,4,0.0,0.4172,1.0,0.8255555828412374
2,feataxis_k2_n5,4,0.05,0.4172,0.9991666674613953,0.8097222447395325
2,feataxis_k2_n5,4,0.1,0.4172,0.9983333349227905,0.7941666841506958
2,feataxis_k2_n5,4,0.2,0.4172,0.9933333396911621,0.7616666754086813
2,feataxis_k2_n5,4,0.3,0.4172,0.9866666793823242,0.6655555764834086
2,feataxis_k2_n5,4,0.5,0.4172,0.10000000149011612,0.08555555591980617
2,feataxis_k2_n5,8,0.0,0.4172,1.0,0.8255555828412374
2,feataxis_k2_n5,8,0.05,0.4172,1.0,0.8219444751739502
2,feataxis_k2_n5,8,0.1,0.4172,1.0,0.8186111450195312
2,feataxis_k2_n5,8,0.2,0.4172,0.9975000023841858,0.7830555637677511
2,feataxis_k2_n5,8,0.3,0.4172,0.9941666722297668,0.7411111195882162
2,feataxis_k2_n5,8,0.5,0.4172,0.09666667133569717,0.07388889292875926
2,loghd_k3_n4,2,0.0,0.3337,0.7266666889190674,0.2958333343267441
2,loghd_k3_n4,2,0.05,0.3337,0.0833333358168602,0.0833333358168602
2,loghd_k3_n4,2,0.1,0.3337,0.0833333358168602,0.0833333358168602
