task,encoding,seed,threshold,iteration,param,from_value,to_value,accepted,val_acc,val_drop,mem_kb_before,mem_kb_after
novel,proj,0,0.005,6,quant_bits,8,3,False,0.927142858505249,0.07285714149475098,9.75,3.65625
novel,proj,0,0.005,7,quant_bits,8,4,False,0.9685714244842529,0.03142857551574707,9.75,4.875
novel,proj,0,0.005,8,quant_bits,8,6,False,0.9871428608894348,0.012857139110565186,9.75,7.3125
novel,proj,0,0.01,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,0,0.01,2,dim,512,128,True,0.9971428513526917,0.0028571486473083496,78.0,19.5
novel,proj,0,0.01,3,quant_bits,16,4,False,0.9685714244842529,0.03142857551574707,19.5,4.875
novel,proj,0,0.01,4,dim,128,64,False,0.8742856979370117,0.12571430206298828,19.5,9.75
novel,proj,0,0.01,5,quant_bits,16,8,True,1.0,0.0,19.5,9.75
novel,proj,0,0.01,6,quant_bits,8,3,False,0.927142858505249,0.07285714149475098,9.75,3.65625
novel,proj,0,0.01,7,quant_bits,8,4,False,0.9685714244842529,0.03142857551574707,9.75,4.875
novel,proj,0,0.01,8,quant_bits,8,6,False,0.9871428608894348,0.012857139110565186,9.75,7.3125
novel,proj,0,0.05,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,0,0.05,2,dim,512,128,True,0.9971428513526917,0.0028571486473083496,78.0,19.5
novel,proj,0,0.05,3,quant_bits,16,4,True,0.9685714244842529,0.03142857551574707,19.5,4.875
novel,proj,0,0.05,4,dim,128,64,False,0.7814285755157471,0.21857142448425293,4.875,2.4375
novel,proj,0,0.05,5,quant_bits,4,2,False,0.12857142090797424,0.8714285790920258,4.875,2.4375
novel,proj,0,0.05,6,quant_bits,4,3,False,0.927142858505249,0.07285714149475098,4.875,3.65625
novel,proj,1,0.005,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,1,0.005,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,1,0.005,3,quant_bits,16,4,False,0.9728571176528931,0.027142882347106934,19.5,4.875
novel,proj,1,0.005,4,dim,128,64,False,0.8657142519950867,0.13428574800491333,19.5,9.75
novel,proj,1,0.005,5,quant_bits,16,8,True,0.9985713958740234,0.0014286041259765625,19.5,9.75
novel,proj,1,0.005,6,quant_bits,8,3,False,0.9442856907844543,0.055714309215545654,9.75,3.65625
novel,proj,1,0.005,7,quant_bits,8,4,False,0.9728571176528931,0.027142882347106934,9.75,4.875
novel,proj,1,0.005,8,quant_bits,8,6,True,0.9971428513526917,0.0028571486473083496,9.75,7.3125
novel,proj,1,0.005,9,quant_bits,6,3,False,0.9442856907844543,0.055714309215545654,7.3125,3.65625
novel,proj,1,0.005,10,quant_bits,6,4,False,0.9728571176528931,0.027142882347106934,7.3125,4.875
novel,proj,1,0.01,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,1,0.01,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,1,0.01,3,quant_bits,16,4,False,0.9728571176528931,0.027142882347106934,19.5,4.875
novel,proj,1,0.01,4,dim,128,64,False,0.8657142519950867,0.13428574800491333,19.5,9.75
novel,proj,1,0.01,5,quant_bits,16,8,True,0.9985713958740234,0.0014286041259765625,19.5,9.75
novel,proj,1,0.01,6,quant_bits,8,3,False,0.9442856907844543,0.055714309215545654,9.75,3.65625
novel,proj,1,0.01,7,quant_bits,8,4,False,0.9728571176528931,0.027142882347106934,9.75,4.875
novel,proj,1,0.01,8,quant_bits,8,6,True,0.9971428513526917,0.0028571486473083496,9.75,7.3125
novel,proj,1,0.01,9,quant_bits,6,3,False,0.9442856907844543,0.055714309215545654,7.3125,3.65625
novel,proj,1,0.01,10,quant_bits,6,4,False,0.9728571176528931,0.027142882347106934,7.3125,4.875
novel,proj,1,0.05,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,1,0.05,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,1,0.05,3,quant_bits,16,4,True,0.9728571176528931,0.027142882347106934,19.5,4.875
novel,proj,1,0.05,4,dim,128,64,False,0.7785714268684387,0.22142857313156128,4.875,2.4375
novel,proj,1,0.05,5,quant_bits,4,2,False,0.418571412563324,0.581428587436676,4.875,2.4375
novel,proj,1,0.05,6,quant_bits,4,3,False,0.9442856907844543,0.055714309215545654,4.875,3.65625
novel,proj,2,0.005,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,2,0.005,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,2,0.005,3,quant_bits,16,4,False,0.9742857217788696,0.02571427822113037,19.5,4.875
novel,proj,2,0.005,4,dim,128,64,False,0.8985714316368103,0.1014285683631897,19.5,9.75
novel,proj,2,0.005,5,quant_bits,16,8,True,0.9957142472267151,0.004285752773284912,19.5,9.75
novel,proj,2,0.005,6,quant_bits,8,3,False,0.9542856812477112,0.04571431875228882,9.75,3.65625
novel,proj,2,0.005,7,quant_bits,8,4,False,0.9742857217788696,0.02571427822113037,9.75,4.875
novel,proj,2,0.005,8,quant_bits,8,6,False,0.991428554058075,0.008571445941925049,9.75,7.3125
novel,proj,2,0.01,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,2,0.01,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,2,0.01,3,quant_bits,16,4,False,0.9742857217788696,0.02571427822113037,19.5,4.875
novel,proj,2,0.01,4,dim,128,64,False,0.8985714316368103,0.1014285683631897,19.5,9.75
novel,proj,2,0.01,5,quant_bits,16,8,True,0.9957142472267151,0.004285752773284912,19.5,9.75
novel,proj,2,0.01,6,quant_bits,8,3,False,0.9542856812477112,0.04571431875228882,9.75,3.65625
novel,proj,2,0.01,7,quant_bits,8,4,False,0.9742857217788696,0.02571427822113037,9.75,4.875
novel,proj,2,0.01,8,quant_bits,8,6,True,0.991428554058075,0.008571445941925049,9.75,7.3125
novel,proj,2,0.01,9,quant_bits,6,3,False,0.9542856812477112,0.04571431875228882,7.3125,3.65625
novel,proj,2,0.01,10,quant_bits,6,4,False,0.9742857217788696,0.02571427822113037,7.3125,4.875
novel,proj,2,0.05,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,2,0.05,2,dim,512,128,True,1.0,0.0,78.0,19.5
novel,proj,2,0.05,3,quant_bits,16,4,True,0.9742857217788696,0.02571427822113037,19.5,4.875
novel,proj,2,0.05,4,dim,128,64,False,0.831428587436676,0.16857141256332397,4.875,2.4375
novel,proj,2,0.05,5,quant_bits,4,2,False,0.2142857164144516,0.7857142835855484,4.875,2.4375
novel,proj,2,0.05,6,quant_bits,4,3,True,0.9542856812477112,0.04571431875228882,4.875,3.65625
novel,proj,2,0.05,7,quant_bits,3,2,False,0.2142857164144516,0.7857142835855484,3.65625,2.4375
novel,id,0,0.005,1,dim,10000,512,True,1.0,0.0,1601.5625,82.0
novel,id,0,0.005,2,levels,1024,32,True,1.0,0.0,82.0,20.0
novel,id,0,0.005,3,dim,512,128,False,0.4399999976158142,0.5600000023841858,20.0,5.0
novel,id,0,0.005,4,quant_bits,16,4,False,0.8700000047683716,0.12999999523162842,20.0,9.5
