task,seed,stage,knob,value,mem_kb,compression_vs_fp,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
novel,1,D,rank,8,861.4,3.54,0.37600929092492963,0.33714285492897034,0.36571428179740906,,,,,0.20184618786637987,0.3473333333333333,0.6569847619047618
novel,1,D,rank,16,1175.9,2.59,0.5268061707907136,0.5628571510314941,0.5771428346633911,,,,,0.39031292531424144,0.574,0.7311933333333334
novel,1,D,rank,24,1490.4,2.04,0.6426146995276297,0.7199999690055847,0.7421428561210632,,,,,0.674560195926242,0.828,0.8136833333333333
novel,1,D,rank,32,1804.9,1.69,0.7458991063735712,0.8557142615318298,0.8657142519950867,,,,,0.8131158451808757,0.9093333333333333,0.8956311904761906
novel,1,D,rank,48,2433.9,1.25,0.8811418427426143,0.9371428489685059,0.9342857003211975,,,,,0.9195544897494243,0.9646666666666667,0.9563290476190477
novel,1,D,rank,64,3062.9,0.99,0.9934175608104678,1.0,0.9764285683631897,,,,,0.971855438932606,0.988,0.9814433333333336
novel,1,D,rank_rand,8,861.4,3.54,0.3607075974375436,0.37714284658432007,0.3735714256763458,,,,,0.20944466451824512,0.35533333333333333,0.6100135714285715
novel,1,D,rank_rand,16,1175.9,2.59,0.5009128632155315,0.5942857265472412,0.5342857241630554,,,,,0.33018357561066397,0.4706666666666667,0.6765780952380953
novel,1,D,rank_rand,24,1490.4,2.04,0.5766041359012463,0.7014285922050476,0.6671428680419922,,,,,0.4681486367136656,0.646,0.7720509523809524
novel,1,D,rank_rand,32,1804.9,1.69,0.623020336409101,0.7671428322792053,0.7407142519950867,,,,,0.4923210244383138,0.6506666666666666,0.7998321428571429
novel,1,D,rank_rand,48,2433.9,1.25,0.6943362614085208,0.8357142806053162,0.8199999928474426,,,,,0.6575554567478106,0.788,0.8505116666666668
novel,1,D,rank_rand,64,3062.9,0.99,0.7419523746494385,0.8771428465843201,0.8564285635948181,,,,,0.8090041617193746,0.9073333333333333,0.8726652380952381
novel,1,D,rank_rand_retrain,8,861.4,3.54,0.3607075974375436,0.46000000834465027,0.2857142686843872,,,,,0.20944466451824512,0.35533333333333333,0.597405
novel,1,D,rank_rand_retrain,16,1175.9,2.59,0.5009128632155315,0.9900000095367432,0.5792856812477112,,,,,0.33018357561066397,0.4706666666666667,0.685092380952381
novel,1,D,rank_rand_retrain,24,1490.4,2.04,0.5766041359012463,1.0,0.7692856788635254,,,,,0.4681486367136656,0.646,0.7845461904761905
novel,1,D,rank_rand_retrain,32,1804.9,1.69,0.623020336409101,1.0,0.852142870426178,,,,,0.4923210244383138,0.6506666666666666,0.8391404761904762
novel,1,D,rank_rand_retrain,48,2433.9,1.25,0.6943362614085208,1.0,0.895714282989502,,,,,0.6575554567478106,0.788,0.8939516666666667
novel,1,D,rank_rand_retrain,64,3062.9,0.99,0.7419523746494385,1.0,0.9092857241630554,,,,,0.8090041617193746,0.9073333333333333,0.9108961904761905
novel,1,P,keep_frac,0.05,152.3,20.0,0.8893966832180059,0.9728571176528931,0.9649999737739563,,,,,0.9417138837328165,0.974,0.9633597619047619
novel,1,P,keep_frac,0.1,304.7,10.0,0.9402305706630943,0.9814285635948181,0.9721428751945496,,,,,0.9598177863313007,0.982,0.9740307142857143
novel,1,P,keep_frac,0.2,609.4,5.0,0.9692088685760104,0.9900000095367432,0.9757142663002014,,,,,0.9120151733927266,0.8613333333333333,0.980212380952381
novel,1,P,keep_frac,0.3,914.1,3.33,0.9787277565319962,0.9871428608894348,0.9728571176528931,,,,,0.9634910687917864,0.984,0.9812466666666667
novel,1,P,keep_frac,0.5,1523.4,2.0,0.9870130921643606,0.9942857027053833,0.9735714197158813,,,,,0.9665420293922152,0.9853333333333333,0.9812380952380954
novel,1,P,keep_frac,0.7,2132.8,1.43,0.9905923943560103,0.9957142472267151,0.9778571128845215,,,,,0.9705063979257894,0.9873333333333333,0.9817735714285714
novel,1,P,keep_frac,1.0,3046.9,1.0,0.9934170066920074,1.0,0.9764285683631897,,,,,0.971855438932606,0.988,0.9814452380952381
novel,1,Q,bits,2,190.4,16.0,0.9930060397743508,0.991428554058075,0.9757142663002014,,,,,0.9701400304841055,0.9873333333333333,0.9813992857142858
novel,1,Q,bits,3,285.6,10.67,0.9934798621380491,0.9942857027053833,0.9778571128845215,,,,,0.9718883894208207,0.988,0.9808945238095238
novel,1,Q,bits,4,380.9,8.0,0.9934462098891248,0.9985713958740234,0.9757142663002014,,,,,0.9722546627795989,0.988,0.9815407142857143
novel,1,Q,bits,6,571.3,5.33,0.9933571568658435,0.9985713958740234,0.9764285683631897,,,,,0.9682825618110689,0.986,0.981417380952381
novel,1,Q,bits,8,761.7,4.0,0.9934019861865084,1.0,0.977142870426178,,,,,0.9713526166014841,0.9873333333333333,0.9814557142857142
novel,2,none,baseline,fp32,3046.9,1.0,0.9935158487071787,1.0,0.9878571033477783,,,,,0.9552693375663871,0.9813333333333333,0.9862442857142858
novel,2,D,rank,8,861.4,3.54,0.36948073544651877,0.41285714507102966,0.40214285254478455,,,,,0.17637401054116586,0.30933333333333335,0.6143809523809525
novel,2,D,rank,16,1175.9,2.59,0.5233742332476969,0.6171428561210632,0.6100000143051147,,,,,0.2969727353340455,0.4786666666666667,0.7082190476190475
novel,2,D,rank,24,1490.4,2.04,0.6476191551416193,0.7828571200370789,0.7442857027053833,,,,,0.41716250990151205,0.5613333333333334,0.8073395238095238
novel,2,D,rank,32,1804.9,1.69,0.7380786403755086,0.8771428465843201,0.8550000190734863,,,,,0.5658563362945741,0.7,0.866977619047619
novel,2,D,rank,48,2433.9,1.25,0.8732981926606689,0.9599999785423279,0.956428587436676,,,,,0.8930454250653482,0.9513333333333334,0.9486414285714286
